molecule,CAS,smiles,D,P,H,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi1v,Chi4v,HallKierAlpha,Ipc,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NOCount,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedRings,RingCount,MolLogP,Asphericity,NPR1,NPR2,PMI1,PMI3,RadiusOfGyration,SpherocityIndex
3-METHYLPENTANE,,CCC(C)CC,14.67,0,0,-1.609914225,-1.609914225,0.716420171,1.022425534,0.641053098,0.478611685,-0.294616693,-0.063741999,-1.334609591,1.302039201,-1.38045036,-0.964342635,-0.385531907,-0.342269598,-0.667583927,-0.67540625,-0.885540481,0.607873976,-0.871881838,0.770554517,-0.339774475,-1.515385994,0.030391723,0.38200851,-0.144318363,-0.859664849,0.165061364,-0.229586829,0.988006088,-0.26660892,-0.017649646,-0.251975414,-0.130026447,-0.915912059,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,0.62520476,-0.179657968,-0.706111209,-0.500072599,-1.20384451,-0.85119543,2.083340959,0.661262822,-0.544264715,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,-1.057124003,-0.893184731,1.358910558,0.666915543,-0.750532807,-1.193522118,-0.762060015,-0.849047635,-0.764760593,-0.588418312,0.572445001,0.165667252,-0.458612357,-0.465755201,1.391571642,-0.767854332,-0.34164367,-0.347027443,-0.942720003,-0.691888077,-0.475223903,1.952998872,-0.584709248,0.101503583,2.057429055,-0.088584187,1.158898461,-0.731200017,-1.237465115,-0.182574186,-0.589767825,-0.589767825,-1.105071853,-0.726204009,-1.594982711,0.033961781,0,-0.558156306,0.617895643,-0.079516197,-0.196430641,0.618021107,-0.240418055,-0.251858675,-0.007630441,0.705126548
"2,4-DIMETHYLHEXANE",,CCC(C)CC(C)C,14.65,0,0,-1.596274155,-1.596274155,0.599822955,0.956232628,1.316683456,2.080879877,0.23175414,0.451736776,-1.331157697,1.302041141,-1.380452339,-0.968567525,-0.476021261,-0.059673621,-0.091144185,-0.659763127,-1.070007303,1.089620138,-1.298026368,1.068361646,-0.798000449,-1.37146623,-0.10684033,0.377185142,0.684169769,-0.463903876,0.61856251,0.803602406,0.988006088,-0.262464983,0.186143294,-0.165163146,0.39179668,-0.915912059,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,0.647749336,1.166579466,-0.706111209,-0.500072599,-1.20384451,-0.85119543,4.472570119,0.928623949,-0.544264715,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,-1.057124003,-0.893184731,3.079042925,0.933361186,-0.750532807,-1.193522118,-0.762060015,-0.849047635,-0.764760593,-0.588418312,1.817793907,0.165667252,-0.458612357,-0.465755201,2.100488253,-0.767854332,-0.34164367,-0.347027443,-0.942720003,-0.691888077,-0.475223903,3.570619044,-0.584709248,0.112651622,3.126982251,-0.088584187,1.158898461,-0.731200017,-1.237465115,-0.182574186,-0.589767825,-0.589767825,-1.105071853,-0.726204009,-1.594982711,0.29716558,0,-0.558156306,0.984079587,-0.440147101,0.182230746,1.090326725,-0.002491722,-0.143555763,0.293989455,1.217732913
benzene,,C1=CC=CC=C1,18.26705231,1.02,2.05,-1.700848026,-1.700848026,2.949339378,2.29006653,0.018007565,-0.214261047,-0.445919694,-0.407394516,-1.453853546,1.318123193,-1.396864507,-0.818395887,-2.195318983,-2.603037419,-2.589049733,-0.717136884,-0.384256092,-0.697339881,0.268066363,0.088964163,1.067404615,-0.73506871,1.426158731,0.538681121,0.446596889,-0.080256498,-0.263120826,-0.083967375,-0.750712049,-0.263983625,-0.458182436,-0.32750665,-0.258436214,-0.915912059,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,0.750065633,-0.825340964,-0.706111209,-0.500072599,-1.20384451,-0.85119543,-0.305888201,-0.636702495,-0.544264715,1.649104723,-0.182574186,-0.182574186,0,-0.343203236,-1.057124003,-0.893184731,-0.361221809,-0.62660535,2.031597147,-1.193522118,-0.762060015,-0.849047635,-0.764760593,-0.588418312,-0.672903905,-0.514790675,-0.458612357,2.725885858,-0.735178189,-0.767854332,-0.34164367,-0.347027443,-0.942720003,-0.691888077,-0.475223903,0.214825168,2.246249731,-0.416663767,-0.938307837,-0.088584187,-1.299638031,-0.731200017,-1.237465115,-0.182574186,1.695582496,1.695582496,-1.105071853,-0.726204009,-1.594982711,-0.492445818,0,1.36438208,0.182746384,-0.947328315,1.600942738,-2.042815677,-0.212341469,-0.323126401,-0.475989368,-1.106285496
toluene,,CC1=CC=CC=C1,18.15660761,1.4,2,-1.673567886,-1.673567886,1.527066926,1.482634331,0.262290227,0.0331935,-0.182734277,-0.149655128,-1.300263291,1.318232776,-1.39697634,-1.006380244,-0.747489322,-0.180786182,0.155901419,-0.698230454,-0.609617234,-0.097989423,-0.237154309,0.452207213,0.505889968,-0.564574427,1.138133795,0.461729894,0.498197353,0.776926566,-0.045504171,0.142240508,-0.750712049,-0.261682267,-0.409129379,-0.306858999,0.00247535,-0.915912059,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,0.727521057,-0.069915084,-0.706111209,-0.500072599,-1.20384451,-0.85119543,-0.305888201,-0.369341368,-0.544264715,1.616142328,-0.182574186,-0.182574186,0,-0.343203236,-1.057124003,-0.893184731,1.651271185,-0.412507477,1.567908822,-1.193522118,-0.762060015,-0.849047635,-0.764760593,-0.588418312,-0.672903905,-0.219992369,-0.458612357,1.130065328,1.216000586,-0.767854332,-0.34164367,-0.347027443,-0.942720003,-0.691888077,0.809237588,0.214825168,1.836132024,-0.416663767,-0.012109553,-0.088584187,-0.948418532,-0.731200017,-1.237465115,-0.182574186,1.695582496,1.695582496,-1.105071853,-0.726204009,-1.594982711,-0.492445818,0,1.36438208,0.36029465,-0.482128475,0.295079115,-0.647719273,-0.202379949,-0.265718235,-0.20532408,-0.770742339
STYRENE,,C=CC1=CC=CC=C1,18.59717452,1,4.1,-1.166945372,-1.166945372,1.216399906,1.306266888,1.074652608,-0.041042864,0.042625389,0.02217113,-1.207956802,1.114527365,-1.189089468,-1.119357308,-0.476021261,0.222922357,0.773515429,-0.693786002,-0.662020752,0.062598005,-0.336914399,0.609018754,0.463945794,-0.103540078,1.365007881,0.949717337,0.425074565,1.25997461,0.058843354,0.225085469,-1.330284762,-0.253739353,-0.262447876,-0.31000305,0.235118722,-0.915912059,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,1.04541726,-0.218331322,-0.706111209,-0.500072599,-1.20384451,0.002192916,-0.305888201,-0.636702495,-0.544264715,2.047342883,-0.182574186,-0.182574186,0,-0.343203236,-1.057124003,-0.893184731,-0.361221809,-0.412507477,2.070775799,-1.193522118,-0.762060015,-0.849047635,-0.764760593,-0.588418312,-0.672903905,-0.219992369,-0.458612357,2.726732302,-0.061565564,-0.767854332,-0.34164367,-0.347027443,-0.942720003,-0.691888077,0.665269925,0.214825168,1.781216663,-0.059493583,0.675911696,-0.088584187,-1.299638031,-0.731200017,-1.237465115,-0.182574186,1.695582496,1.695582496,-1.105071853,-0.726204009,-1.594982711,-0.229242019,0,1.36438208,0.552902454,0.129126038,-0.350404869,-0.083808554,-0.183972648,-0.194303987,0.047897007,-1.106285473
O-XYLENE,,CC1=CC=CC=C1C,17.9061442,1,3.1,-1.661443379,-1.661443379,1.62415037,1.537749157,0.518252528,0.21878441,0.080451139,0.108084259,-1.298467283,1.319716906,-1.398490934,-1.00857844,-1.018957384,-0.907461553,-0.667583927,-0.682378596,-0.798542115,0.40220527,-0.662536555,0.763691749,0.046943016,-0.407461893,0.979743786,0.646646709,0.770790509,1.163846474,0.175282844,0.33639978,-0.750712049,-0.25713306,-0.350973458,-0.313574045,0.263386914,-0.915912059,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,0.206182425,1.899530078,-0.706111209,-0.500072599,-1.20384451,-0.85119543,-0.305888201,-0.101980241,-0.544264715,1.583179934,-0.182574186,-0.182574186,0,-0.343203236,-1.057124003,-0.893184731,3.663764179,-0.198409603,1.104220496,-1.193522118,-0.762060015,-0.849047635,-0.764760593,-0.588418312,-0.672903905,0.074805936,-0.458612357,-0.465755201,3.167179361,-0.767854332,-0.34164367,-0.347027443,-0.942720003,-0.691888077,2.183678869,0.214825168,1.386695443,-0.416663767,0.947020224,-0.088584187,-0.685003908,-0.731200017,-1.237465115,-0.182574186,1.695582496,1.695582496,-1.105071853,-0.726204009,-1.594982711,-0.492445818,0,1.36438208,0.537842917,-0.885504735,0.994961184,-1.31057295,0.006119424,-0.212989083,-0.051960292,-0.611459602
tetralin,,C1CCC2=CC=CC=C2C1,19.48409608,2,2.9,-1.61624928,-1.61624928,1.485126879,1.458824726,1.014612651,2.695804427,0.568996222,0.537649905,-1.217153336,1.319777585,-1.398552859,-1.108101356,-1.181838221,-0.794423162,0.024143764,-0.652557815,-1.153259488,1.337797084,-1.46617526,1.27179241,-0.937214172,-0.333659829,0.198512291,1.278790015,-0.961386487,1.815352849,0.81491525,1.870149727,-0.750712049,-0.20748793,-0.224402023,-0.311219049,0.743979033,-0.915912059,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,0.206182425,3.19089607,-0.706111209,-0.500072599,-1.20384451,-0.85119543,-0.305888201,0.355061378,-0.544264715,1.583179934,-0.182574186,-0.182574186,0,-0.343203236,-1.057124003,2.346035518,-0.361221809,0.29577436,1.104220496,-1.193522118,-0.762060015,-0.849047635,-0.764760593,-0.588418312,-0.672903905,0.846125179,1.633892669,-0.465755201,1.74934614,-0.767854332,-0.34164367,-0.347027443,-0.942720003,-0.691888077,2.590837415,0.214825168,1.492004495,0.630566427,-0.938307837,-0.088584187,-0.316223434,-0.731200017,-1.237465115,5.477225575,1.695582496,1.695582496,-1.105071853,-0.726204009,-1.594982711,-0.492445818,0,3.286920467,0.688645536,-0.396718926,0.155528149,-0.339916191,0.069784352,-0.09832293,0.196408294,-0.287602304
acetone,,CC(=O)C,15.5,10.4,7,0.736177828,0.736177828,-0.895164996,0.107519424,-0.65229245,-0.733915596,-0.821813088,-0.665133903,-0.166518518,-0.020803979,-0.030453178,-0.283548496,0.338382923,-0.342269598,-0.667583927,-0.368772757,-0.09611545,-0.505076559,0.806280983,-0.783190584,0.243941472,0.255476344,-0.752603312,-1.496576128,-0.026876534,-0.755549382,-0.684846556,-0.666445191,0.252394568,-0.269585946,-0.613268892,-0.04208791,-0.742172118,0.363010093,2.998786446,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,-0.881583989,0.685510795,-0.706111209,-0.500072599,-0.192016214,-0.038927901,-0.305888201,-0.101980241,-0.544264715,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,-0.33764637,0.316205815,-0.361221809,-0.093714064,-0.750532807,-0.247454083,-0.762060015,1.194808343,0.719021954,-0.588418312,-0.672903905,0.21896462,-0.458612357,-0.465755201,-0.735178189,-0.767854332,-0.34164367,-0.347027443,0.866725879,-0.691888077,-0.475223903,0.524598699,-0.584709248,-0.416663767,0.420116312,-0.088584187,0.339386297,-0.731200017,-0.200670019,-0.182574186,-0.589767825,-0.589767825,0.118400556,-0.726204009,-0.496216844,-0.492445818,0,-0.558156306,-0.445482728,-1.11324735,1.371846583,-1.340807995,-0.335303864,-0.362738258,-0.643325014,0.657309953
ACETOPHENONE,,CC(=O)C1=CC=CC=C1,18.8,9,4,1.129314959,1.129314959,-0.991083439,0.053065976,1.14170791,0.132175319,0.342810993,0.279910518,0.059015448,0.011993269,-0.063923655,-0.007509773,-0.264879436,0.285721463,0.741490998,-0.368651961,-0.760995684,0.780551097,-0.503744429,0.611502504,-0.474612906,0.548912085,-0.496036273,0.942732504,0.402015632,1.827656696,0.195131144,0.35180985,-1.486323569,-0.246931594,-0.226623057,-0.290961559,0.433975934,-0.915912059,-0.327193146,4.358295677,-0.741575847,1.370529868,-0.327326835,-0.182574186,-0.182574186,0.478124029,-0.069915084,0.464917998,-0.500072599,-0.192016214,-0.038927901,-0.305888201,-0.369341368,-0.544264715,1.616142328,-0.182574186,-0.182574186,0,-0.343203236,-0.33764637,-0.893184731,-0.361221809,0.03844597,1.567908822,-0.247454083,-0.762060015,1.194808343,0.719021954,-0.588418312,0.497854497,-0.514790675,0.843452999,2.193945682,-0.735178189,-0.767854332,-0.34164367,-0.347027443,1.096809341,-0.691888077,0.278356832,0.439583075,1.5920055,-0.416663767,-0.242630015,-0.088584187,-0.992320969,-0.731200017,-0.200670019,-0.182574186,1.695582496,1.695582496,0.118400556,-0.726204009,-0.496216844,-0.229242019,0,1.36438208,0.299377208,0.007605055,-0.242000098,-0.149016536,-0.069479793,-0.126584314,0.183443675,-0.869182574
ETHYL ACETATE,,CCOC(=O)C,15.8,5.3,7.2,0.859620462,0.859620462,-0.802935725,-0.341666407,-0.05413149,-0.329739836,-0.258442066,-0.149655128,1.034157199,-0.953414662,0.921301204,1.185999513,1.062297753,1.541703586,1.25388188,-0.313588997,0.271289255,0.309873873,-0.503227563,-0.216337432,-0.730140136,0.168391769,-0.782796939,-0.29313202,0.040955815,-0.412037009,-0.313974149,-0.35884267,-0.193430595,-0.267501894,-0.157551456,-0.196717518,-0.271646224,0.34762574,-0.327193146,-0.259606659,1.342536908,1.370529868,-0.327326835,-0.182574186,-0.182574186,-0.881583989,-0.069915084,0.751239232,1.080479326,0.807640642,-0.012795379,-0.305888201,-0.101980241,1.021171568,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,0.50744494,1.511048414,-0.361221809,-0.093714064,-0.750532807,0.264098816,-0.762060015,1.194808343,0.766758664,1.811357077,-0.672903905,-0.147913027,0.843452999,-0.465755201,-0.250174103,-0.767854332,1.765927231,-0.347027443,0.938970667,-0.691888077,-0.475223903,-0.176694157,-0.584709248,-0.416663767,0.685729398,-0.088584187,0.544264338,-0.731200017,0.836125078,-0.182574186,-0.589767825,-0.589767825,1.341872965,-0.726204009,0.602549024,-0.229242019,0,-0.558156306,-0.460392592,-0.19571658,-0.083562882,0.794305637,-0.271724412,-0.281723937,-0.203614844,0.536705099
Butyl acetate,,CCCCOC(=O)C,16,6.5,3.8,0.94958554,0.94958554,-0.863030376,-0.307550329,-0.464343353,0.045566227,0.267928767,0.365823647,1.034226086,-0.951761126,0.919613726,1.186083826,0.609850984,1.353306267,1.926394913,-0.313511268,-0.416987272,0.581352681,-0.777498428,0.294391394,-0.873125357,0.168883931,-0.783573246,0.414821807,0.019554959,-0.125066109,0.215914686,-0.121293591,-0.193430595,-0.26148837,0.375998041,-0.106130804,0.250176904,0.34762574,-0.327193146,-0.259606659,1.342536908,1.370529868,-0.327326835,-0.182574186,-0.182574186,-0.283377405,-0.124786526,0.751239232,1.080479326,0.807640642,-0.012795379,-0.305888201,0.393901695,1.021171568,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,0.50744494,1.511048414,-0.361221809,0.4004699,-0.750532807,0.264098816,-0.762060015,1.194808343,0.766758664,1.811357077,2.029458424,-0.147913027,-0.458612357,-0.465755201,0.458742507,-0.767854332,1.881079054,-0.347027443,0.991622718,-0.691888077,-0.475223903,-0.123430319,-0.584709248,-0.017580203,0.866892102,-0.088584187,0.749142379,-0.731200017,0.836125078,-0.182574186,-0.589767825,-0.589767825,1.341872965,-0.726204009,0.602549024,0.29716558,0,-0.558156306,-0.011254542,0.875821475,-0.942105946,0.933915695,-0.169823486,-0.057899385,0.505490368,-0.08449857
METHYL METHACRYLATE,,CC(=C)C(=O)OC,15.80241754,6.5,5.4,0.980183526,0.980183526,-0.516539566,-0.504255143,-1.252188306,-0.313242866,-0.0330824,0.02217113,1.24046104,-0.950618929,0.918448083,1.438501828,0.803756742,1.111081144,0.814689696,-0.314645864,-0.407222299,0.896346514,-0.58467209,0.300420098,-0.864512121,0.45216535,-0.777579854,0.372352797,1.83585874,0.249174952,-0.305485454,-0.402777845,-0.773003308,-0.265138526,-0.240227085,-0.264306335,-0.039002852,0.34762574,-0.327193146,-0.259606659,1.342536908,-0.740896202,3.055050463,-0.182574186,-0.182574186,-0.586665087,-0.069915084,0.466949829,1.200790872,0.807640642,-0.012795379,-0.305888201,-0.369341368,1.140332511,0.059948196,-0.182574186,-0.182574186,0,-0.343203236,0.570011287,1.511048414,-0.361221809,-0.360159707,0.178319522,0.264098816,-0.762060015,1.194808343,0.766758664,1.435864725,-0.672903905,-0.138053991,0.843452999,-0.465755201,0.423438521,-0.767854332,1.70387467,-0.347027443,1.009530186,-0.691888077,-0.054568388,-0.430536356,-0.584709248,-0.416663767,1.26427401,4.990729094,-0.316223434,-0.731200017,0.836125078,-0.182574186,-0.589767825,-0.589767825,1.341872965,-0.726204009,0.602549024,-0.229242019,0,-0.558156306,-0.364773738,-0.292778317,0.055275926,-0.356558721,-0.164398323,-0.225410084,-0.055674541,-0.525135751
carbon dioxide,,C(=O)=O,15.7,6.3,5.7,0.304242276,0.304242276,-0.720414798,0.206726111,-1.166739028,-2.061921666,-1.085824066,-1.00878642,1.517692027,0.619650226,0.386141232,0.21951773,-0.023574492,-0.719064235,-1.051877088,-0.354762547,1.955784676,-2.568051763,3.225920525,-2.904834275,2.040508618,-0.445964117,-0.844004897,-1.256882307,1.086001477,-0.79234951,-1.106572286,-0.666445191,-0.394051919,-0.269674101,-0.520569172,-0.291380635,-1.093406226,-0.915912059,-0.327193146,-0.259606659,1.406147849,-0.740896202,-0.327326835,5.477225575,-0.182574186,-0.881583989,-0.825340964,-0.706111209,-0.500072599,0.819812082,0.012794127,-0.305888201,-0.636702495,-0.544264715,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,-0.291832842,1.52559636,-0.361221809,-0.62660535,-0.750532807,0.698613953,-0.762060015,-0.849047635,0.813503438,-0.588418312,-0.672903905,-0.514790675,-0.458612357,-0.465755201,-0.735178189,0.485670992,-0.34164367,-0.347027443,2.170591294,-0.691888077,-0.475223903,0.214825168,-0.584709248,-0.367958742,-0.938307837,-0.088584187,-1.299638031,-0.731200017,0.836125078,-0.182574186,-0.589767825,-0.589767825,1.341872965,-0.726204009,0.602549024,-0.492445818,0,-0.558156306,-1.124083001,2.789975098,-2.034992174,1.607391147,-0.477800483,-0.390382026,-0.942632051,-1.106285496
CHLOROFORM,,C(Cl)(Cl)Cl,17.8,3.1,5.7,-0.782416641,-0.782416641,0.328086396,-0.983754128,-0.205003877,0.132175319,0.32830737,-0.579220774,0.201094272,1.1767201,-0.720543843,-0.608274375,-0.747489322,-1.472653509,-1.820463411,2.352297883,2.139212871,0.195160198,0.285732767,0.797201168,0.794593374,1.486114807,1.714654078,-1.496576128,-1.178944475,-1.025461501,-0.282217484,-0.666445191,2.927345549,-0.269585946,-0.313764813,0.246681051,-0.167530495,-0.915912059,-0.327193146,3.170297444,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,0.678548209,-0.825340964,-0.706111209,-0.500072599,-1.20384451,4.036925447,-0.305888201,-0.470833005,-0.544264715,-0.736528123,-0.182574186,-0.182574186,0,4.216496905,-0.522738669,-0.893184731,-0.361221809,-0.62660535,-0.750532807,-1.193522118,0.58990732,-0.849047635,-0.764760593,-0.588418312,-0.672903905,-0.514790675,-0.458612357,-0.465755201,-0.735178189,3.781720956,-0.700662057,4.181681527,-0.942720003,-0.691888077,-0.475223903,0.214825168,-0.584709248,-0.416663767,-0.938307837,-0.088584187,1.158898461,-0.731200017,-1.237465115,-0.182574186,-0.589767825,-0.589767825,-1.105071853,-0.726204009,1.701314892,-0.492445818,0,-0.558156306,0.355332371,-1.101026664,1.758745434,-1.884395328,-0.013515592,-0.260409294,-0.385313068,2.259406302
DICHLOROMETHANE,,C(Cl)Cl,17,7.3,7.1,-0.796056711,-0.796056711,-0.83691493,0.14058832,-0.777240847,-0.907133779,-0.317976345,-0.836960161,-0.368366012,1.054563084,-1.1278943,-0.530596535,-0.023574492,-0.719064235,-1.051877088,2.346243263,2.210098638,-1.381344079,1.335739953,-0.111460595,1.954458428,1.183610796,2.005073816,-1.256882307,-2.839551179,-1.102972894,-0.473186008,-0.666445191,2.280899062,-0.269674101,-0.18897388,-0.237028606,-0.589881752,-0.915912059,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,5.477225575,-0.881583989,-0.825340964,-0.706111209,0.777210634,-1.20384451,2.407551821,-0.305888201,-0.636702495,0.720803192,-0.736528123,-0.182574186,-0.182574186,0,2.696596858,-0.392890617,-0.893184731,-0.361221809,-0.62660535,-0.750532807,-1.193522118,-0.762060015,-0.849047635,0.605091452,-0.588418312,-0.672903905,-0.514790675,-0.458612357,-0.465755201,-0.735178189,2.26519586,-0.34164367,2.645934362,-0.942720003,-0.659491632,-0.475223903,0.214825168,-0.584709248,-0.416663767,-0.938307837,-0.088584187,1.158898461,-0.731200017,-1.237465115,-0.182574186,-0.589767825,-0.589767825,-1.105071853,-0.726204009,0.602549024,-0.492445818,0,-0.558156306,0.03013616,1.404323187,-1.284177732,1.00019022,-0.427134929,-0.330149916,-0.589559318,1.979049098
