molecule,CAS,smiles,D,P,H,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi1v,Chi4v,HallKierAlpha,Ipc,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,NHOHCount,NOCount,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedRings,RingCount,MolLogP,Asphericity,NPR1,NPR2,PMI1,PMI3,RadiusOfGyration,SpherocityIndex
VINYL CHLORIDE,,C=CCl,16.36346235,6.5,2.4,-0.796561898,-0.796561898,1.318337522,1.364137455,-0.662378937,-1.484527722,-0.738900394,-0.922873291,-1.048888161,1.141928075,-1.217052633,-1.314046849,1.424255168,0.788114312,0.485295558,2.34017265,1.131681206,-2.370132698,1.932538368,-0.487420555,3.14330758,0.971378214,2.5152455,-1.256882307,-1.506581439,-0.991994698,-0.759678615,-0.666445191,1.054879862,-0.269674101,-0.340955056,-0.261939952,-0.779589637,-0.915912059,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,-0.06662102,-0.221413538,-0.706111209,-0.500072599,-1.20384451,0.778178195,-0.305888201,-0.636702495,-0.544264715,0.057463961,-0.182574186,-0.182574186,0,1.176696811,-1.057124003,-0.893184731,-0.361221809,-0.62660535,0.175422402,-1.193522118,-0.762060015,-0.849047635,-0.764760593,-0.588418312,-0.672903905,-0.221489268,-0.458612357,-0.465755201,-0.061565564,0.748670764,-0.34164367,1.148968691,-0.942720003,-0.691888077,0.712509315,0.214825168,-0.584709248,-0.416663767,0.451675661,-0.088584187,-1.299638031,-0.731200017,-1.237465115,-0.182574186,-0.589767825,-0.589767825,-1.105071853,-0.726204009,-0.496216844,-0.492445818,0,-0.558156306,-0.000259237,1.458502973,-1.316279261,0.885857114,-0.450168925,-0.367032807,-0.76803396,-1.106285496
chlorobenzene,,C1=CC=C(C=C1)Cl,19,4.3,2,-0.54208871,-0.54208871,0.420315667,0.854325315,0.633397942,0.0331935,0.200364021,-0.149655128,-0.751814787,1.193969087,-1.27016189,-0.999912584,-0.747489322,-0.180786182,0.155901419,2.340182215,-0.395646708,0.025591452,-0.131539846,0.788950524,0.784133907,1.045922132,1.420702589,0.461729894,0.498197353,0.838132053,-0.010029857,0.181235481,-0.104265562,-0.261682267,-0.352803158,-0.299369909,0.163915043,-0.915912059,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,0.454284888,0.498421203,0.351083289,-0.500072599,-1.20384451,0.778178195,-0.305888201,-0.636702495,-0.544264715,1.580695698,-0.182574186,-0.182574186,0,1.176696811,-1.057124003,-0.893184731,-0.361221809,-0.62660535,1.567908822,-1.193522118,-0.762060015,-0.849047635,-0.764760593,-0.588418312,0.384046113,-0.514790675,-0.458612357,2.193945682,-0.735178189,0.748670764,-0.34164367,1.393156368,-0.942720003,-0.559602592,-0.475223903,0.214825168,1.643280225,-0.416663767,-0.938307837,-0.088584187,-1.299638031,-0.731200017,-1.237465115,-0.182574186,1.695582496,1.695582496,-1.105071853,-0.726204009,-0.496216844,-0.492445818,0,1.36438208,0.558889426,0.284123309,-0.486168139,0.052487608,-0.212241158,-0.198067333,-0.047947863,-1.106285496
phenol,,C1=CC=C(C=C1)O,18.5,5.9,14.9,0.470287395,0.470287395,-0.56993546,0.292154091,1.106718583,-0.01629741,-0.145734089,-0.149655128,-0.242945627,-1.188468841,1.16118034,-0.377090244,-0.747489322,-0.180786182,0.155901419,-0.352247956,-0.439216583,0.020432281,-0.225436133,0.768208063,0.743189714,-0.472558714,-0.051583551,0.461729894,0.498197353,0.838132053,-0.191961843,-0.018752401,-1.196537213,-0.261682267,-0.447011329,-0.311805258,-0.061911092,0.446232139,2.979386326,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,-0.065759178,0.498421203,-0.706111209,-0.500072599,-0.126174505,-0.85119543,-0.305888201,-0.636702495,-0.544264715,1.251499249,5.477225575,-0.182574186,0,-0.343203236,-0.421834944,-0.893184731,-0.361221809,-0.62660535,1.567908822,-0.072317879,-0.762060015,-0.849047635,-0.764760593,1.499940019,-0.672903905,-0.514790675,4.10470723,0.066184975,-0.735178189,-0.100306959,-0.34164367,-0.347027443,-0.942720003,0.746328967,-0.475223903,0.81286018,1.470728615,-0.416663767,-0.938307837,-0.088584187,-1.299638031,0.528088901,-0.200670019,-0.182574186,1.695582496,1.695582496,0.118400556,0.59805036,-0.496216844,-0.492445818,0,1.36438208,0.013269017,-0.42474667,0.241334395,-0.677870547,-0.210218283,-0.26654725,-0.234589542,-1.106285496
ETHYLENE GLYCOL,,C(CO)O,17,11,26,0.140561435,0.140561435,-0.982540096,-0.239703979,-0.512001576,-0.38747923,-0.746987149,-0.579220774,-0.576482996,-0.547469334,0.507023037,-0.785318019,-0.747489322,-0.907461553,-1.244023669,-0.345302027,0.352494066,-0.69067396,0.249109799,-1.104602739,-0.33922881,-1.986347961,-0.395403745,-0.243044977,-2.018014162,-1.055017165,-0.722822954,-0.666445191,0.809676023,-0.268936844,-0.095021881,-0.266922222,-0.780622458,1.808376336,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,-0.881583989,-0.825340964,-0.706111209,2.661031252,0.9514955,-0.85119543,-0.305888201,-0.636702495,2.586607851,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,1.857342223,-0.893184731,-0.361221809,-0.62660535,-0.750532807,1.04888636,-0.762060015,-0.849047635,2.625438591,-0.588418312,-0.672903905,-0.514790675,-0.458612357,-0.465755201,-0.735178189,0.567240414,-0.34164367,-0.347027443,-0.942720003,1.848918838,-0.475223903,0.214825168,-0.584709248,-0.416663767,-1.049451631,-0.088584187,1.158898461,1.78737782,0.836125078,-0.182574186,-0.589767825,-0.589767825,1.341872965,1.92230473,0.602549024,-0.229242019,0,-0.558156306,-1.380544166,1.083986826,-1.077909663,1.168556315,-0.425236457,-0.346104429,-0.491102791,1.027897701
propylene glycol,,CC(CO)O,16.8,9.4,23.3,0.299695586,0.299695586,-0.953415063,-0.757783342,-0.084570829,2.210793514,-0.483801733,-0.321481387,-0.521776702,-0.545835576,0.505355742,-0.718361118,0.98990627,0.788114312,0.485295558,-0.343779587,-0.250513708,0.380260789,-0.526962351,-0.244367066,-1.048437439,-1.617143968,-0.485858308,-0.225501175,-0.660305753,-0.865051782,-0.496258553,-0.666445191,0.809676023,-0.268433922,-0.300859095,-0.176335507,-0.519710895,1.808376336,-0.327193146,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,-0.881583989,-0.069915084,-0.706111209,2.540719706,0.9514955,-0.85119543,-0.305888201,-0.133635811,1.021171568,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,1.794775876,-0.893184731,-0.361221809,-0.360159707,-0.750532807,1.04888636,1.159126418,-0.849047635,0.930338999,-0.588418312,-0.672903905,-0.147913027,-0.458612357,-0.465755201,-0.735178189,0.567240414,-0.34164367,-0.347027443,-0.942720003,1.974647899,-0.475223903,0.214825168,-0.584709248,-0.525799101,-0.320842315,-0.088584187,1.158898461,1.78737782,0.836125078,-0.182574186,-0.589767825,-0.589767825,1.341872965,1.92230473,0.602549024,-0.229242019,0,-0.558156306,-1.156896214,-0.69497073,0.453004803,-0.125403038,-0.289412669,-0.319685388,-0.385486654,1.22495637
glycerol,,C(C(CO)O)O,17.4,12.1,29.3,0.317882346,0.317882346,-0.480133274,-1.226259362,-0.905100772,0.478611685,-0.183616128,-0.063741999,-0.345556015,-0.545235352,0.504743198,-0.502678602,-0.385531907,-0.342269598,-0.667583927,-0.339628514,-0.318204773,0.823314211,-0.793356395,-0.153935024,-1.507117225,-1.481758004,-0.562948006,0.38200851,-0.144318363,-0.770997856,-0.41829824,-0.579073518,0.72051099,-0.26660892,-0.049450178,-0.25706041,-0.323185773,3.170520533,3.183235311,-0.259606659,-0.741575847,-0.740896202,-0.327326835,-0.182574186,-0.182574186,-0.881583989,-0.825340964,-0.706111209,2.661031252,2.029165506,-0.85119543,-0.305888201,-0.400996938,2.586607851,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,3.25200899,-0.893184731,-0.361221809,-0.62660535,-0.750532807,2.1700906,1.159126418,-0.849047635,2.625438591,-0.588418312,-0.672903905,-0.514790675,-0.458612357,-0.465755201,-0.735178189,1.234787787,-0.34164367,-0.347027443,-0.942720003,3.309458575,-0.475223903,0.214825168,-0.584709248,-0.602464418,-1.262477236,-0.088584187,1.158898461,3.046666739,1.872920174,-0.182574186,-0.589767825,-0.589767825,2.565345373,3.246559099,1.701314892,0.033961781,0,-0.558156306,-1.748455122,-0.546728581,0.266917025,0.62642884,-0.232343497,-0.280416445,-0.224380474,1.146112686
formamide,,C(=O)N,17.2,26.2,19,0.454283047,0.454283047,-0.720414798,0.206726111,-1.345544699,-1.600006511,-1.066460884,-0.922873291,0.364449394,-0.425277621,0.382323094,0.366321263,1.424255168,0.788114312,0.485295558,-0.368850644,1.497257214,-2.335017049,1.72910815,-2.870917199,-0.251099217,-0.151889363,-0.74304677,-1.256882307,-1.506581439,-0.962439034,-1.021372889,-0.666445191,-0.193430595,-0.269674101,-0.495699525,-0.287304233,-1.045102567,0.613519055,-0.327193146,-0.259606659,-0.741575847,1.370529868,-0.327326835,-0.182574186,-0.182574186,-0.881583989,-0.825340964,-0.706111209,-0.500072599,-0.192016214,0.049114401,2.008958541,-0.636702495,-0.544264715,-0.736528123,-0.182574186,5.477225575,0,-0.343203236,-0.259661637,0.316205815,-0.361221809,-0.62660535,-0.750532807,1.194648454,-0.762060015,-0.849047635,0.879850284,-0.588418312,-0.672903905,-0.514790675,-0.458612357,-0.465755201,-0.148111985,-0.14109167,-0.34164367,-0.347027443,0.70174699,-0.691888077,3.573866612,0.214825168,-0.584709248,-0.367958742,-0.938307837,-0.088584187,-1.299638031,1.78737782,0.836125078,-0.182574186,-0.589767825,-0.589767825,0.118400556,0.59805036,0.602549024,-0.492445818,0,-0.558156306,-1.305419178,0.938995174,-0.98217954,0.550445972,-0.454359391,-0.387587046,-0.898036251,-1.106285496
dimethyl sulfoxide,,CS(=O)C,18.50844402,16.4,10.2,0.772551348,0.772551348,0.036836064,-0.818409651,-0.653075892,0.045566227,-0.445506913,-0.579220774,-0.92759742,0.205200314,-0.261096661,-1.215058951,0.338382923,-0.342269598,-0.667583927,1.878586232,2.186957502,-0.706191673,0.645211027,-0.872090067,0.206532865,3.118297762,0.203917415,-1.496576128,-0.026876534,-0.714838117,0.240003187,-0.666445191,1.32237496,-0.269585946,-0.496401314,5.369936736,-0.625435575,-0.915912059,-0.327193146,-0.259606659,-0.741575847,1.11262535,-0.327326835,-0.182574186,-0.182574186,-0.881583989,-0.825340964,4.200552879,-0.500072599,-0.315608081,0.665624167,-0.305888201,-0.636702495,2.420222348,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,1.02301966,1.830935699,-0.361221809,-0.62660535,-0.750532807,-0.247454083,2.637038901,0.945157314,-0.764760593,-0.588418312,-0.672903905,-0.514790675,1.894284668,-0.465755201,-0.735178189,-0.767854332,4.232516518,-0.347027443,-0.942720003,-0.691888077,-0.475223903,0.214825168,-0.584709248,0.221913228,-0.938307837,-2.421787671,1.158898461,-0.731200017,-0.200670019,-0.182574186,-0.589767825,-0.589767825,0.118400556,-0.726204009,0.602549024,-0.492445818,0,-0.558156306,-0.791230373,-1.525266134,1.99756787,-0.907510022,-0.275276552,-0.352073454,-0.67446918,0.514357133
acetic acid,,CC(=O)O,14.46899098,7.98,13.52,0.590683747,0.590683747,0.502836594,-1.082960815,-0.174446364,-0.820524688,-0.784812899,-0.665133903,1.017577182,-1.039245273,1.008893659,1.165706664,1.424255168,0.788114312,0.485295558,-0.336952205,0.413976793,-0.370115047,0.68028316,-1.036086493,-0.080718283,0.130432047,-0.775712342,-1.496576128,-0.026876534,-0.744393782,-0.831304228,-0.666445191,-0.193430595,-0.269585946,-0.66015468,-0.301525927,-0.80655856,0.446232139,-0.327193146,-0.259606659,-0.741575847,1.370529868,-0.327326835,-0.182574186,-0.182574186,-0.881583989,-0.825340964,0.751239232,-0.500072599,0.885653791,-0.012795379,-0.305888201,-0.369341368,-0.544264715,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,0.320789945,0.316205815,-0.361221809,-0.360159707,-0.750532807,0.873750157,1.116742653,-0.849047635,-0.764760593,-0.588418312,0.784109518,-0.514790675,-0.458612357,-0.465755201,-0.735178189,0.526455703,-0.34164367,-0.347027443,0.781575485,0.543804904,-0.475223903,-1.334042489,-0.584709248,-0.416663767,-0.456684729,-0.088584187,-0.070369785,0.528088901,0.836125078,-0.182574186,-0.589767825,-0.589767825,0.118400556,0.59805036,0.602549024,-0.492445818,0,-0.558156306,-0.73585088,-1.007453975,1.256677231,-1.454244941,-0.343658044,-0.364103242,-0.693937876,0.131018285
ACRYLIC ACID,,C=CC(=O)O,17.70621642,6.4,14.9,0.672524168,0.672524168,0.502836594,-1.259328258,0.142273944,-0.768559233,-0.559453233,-0.493307645,1.205440889,-1.020436899,0.989699206,1.395639469,1.424255168,1.240267876,0.946447351,-0.336876063,0.123059999,-0.035555384,0.482137967,-0.661139052,-0.225177603,0.345570604,-0.772114774,-0.225501175,0.938928683,-0.317405269,-0.726956704,-0.666445191,-0.773003308,-0.268433922,-0.481461244,-0.208493791,-0.573915188,0.446232139,-0.327193146,-0.259606659,1.342536908,-0.740896202,3.055050463,-0.182574186,-0.182574186,-0.586665087,-0.825340964,0.572806567,-0.500072599,0.885653791,-0.012795379,-0.305888201,-0.636702495,-0.544264715,0.092910591,-0.182574186,-0.182574186,0,-0.343203236,0.320789945,0.316205815,-0.361221809,-0.62660535,0.216760335,0.873750157,1.116742653,1.194808343,-0.764760593,-0.588418312,0.605718116,-0.514790675,-0.458612357,-0.465755201,-0.061565564,-0.100306959,-0.34164367,-0.347027443,0.829472582,0.575044333,-0.475223903,-1.609396739,-0.584709248,-0.254313684,0.377922835,-0.088584187,-1.299638031,0.528088901,0.836125078,-0.182574186,-0.589767825,-0.589767825,0.118400556,0.59805036,0.602549024,-0.229242019,0,-0.558156306,-0.640232026,-0.103874081,-0.126356441,-0.308736437,-0.344396676,-0.327083354,-0.447075815,-1.106285496
propionic acid,,CCC(=O)O,14.7,5.3,12.4,0.711171033,0.711171033,-0.778664864,-0.978242646,0.74606245,-0.422122867,-0.521627483,-0.407394516,1.037200182,-1.038145461,1.007771272,1.189723924,1.424255168,1.240267876,0.946447351,-0.336798609,-0.147749836,0.277310448,0.189190647,-0.288498686,-0.413303358,0.172234736,-0.778308254,-0.225501175,0.079711046,-0.550240082,-0.534216663,-0.666445191,-0.193430595,-0.268433922,-0.41606569,-0.196717518,-0.545646996,0.446232139,-0.327193146,-0.259606659,1.342536908,1.370529868,-0.327326835,-0.182574186,-0.182574186,-0.571208409,-0.825340964,0.645382494,-0.500072599,0.885653791,-0.012795379,-0.305888201,-0.1214004,-0.544264715,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,0.320789945,0.316205815,-0.361221809,-0.113067725,-0.750532807,0.873750157,1.116742653,1.194808343,0.882602289,-0.588418312,-0.672903905,-0.514790675,0.843452999,-0.465755201,-0.735178189,-0.100306959,-0.34164367,-0.347027443,0.852090655,0.594713603,-0.475223903,-1.170550903,-0.584709248,-0.373370411,-0.227193377,-0.088584187,0.339386297,0.528088901,0.836125078,-0.182574186,-0.589767825,-0.589767825,0.118400556,0.59805036,0.602549024,-0.229242019,0,-0.558156306,-0.511281855,-0.898777126,0.681760333,0.192279022,-0.294726852,-0.330269142,-0.429693314,1.380852362
butyric acid,,CCCC(=O)O,15.7,4.8,12,0.786873422,0.786873422,-0.633039698,-0.936906526,1.540251095,-0.156521653,-0.258442066,-0.149655128,1.039047161,-1.03810384,1.007728796,1.191984504,1.062297753,1.541703586,1.25388188,-0.336787562,-0.431662828,0.557783115,-0.126557181,0.15242782,-0.541175966,0.177464873,-0.778803432,-0.29313202,0.040955815,-0.412037009,-0.269272245,-0.34279792,-0.193430595,-0.267501894,-0.157551456,-0.196717518,-0.284735433,0.446232139,-0.327193146,-0.259606659,1.342536908,1.370529868,-0.327326835,-0.182574186,-0.182574186,-0.571208409,-0.124786526,0.645382494,-0.500072599,0.885653791,-0.012795379,-0.305888201,0.126540568,-0.544264715,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,0.320789945,0.316205815,-0.361221809,0.134024257,-0.750532807,0.873750157,1.116742653,1.194808343,-0.764760593,1.743775571,0.678277259,-0.514790675,-0.458612357,0.141364999,-0.735178189,-0.100306959,-0.34164367,-0.347027443,0.89639547,0.626577821,-0.475223903,-1.106014751,-0.584709248,-0.217333942,-0.119672047,-0.088584187,0.544264338,0.528088901,0.836125078,-0.182574186,-0.589767825,-0.589767825,0.118400556,0.59805036,0.602549024,0.033961781,0,-0.558156306,-0.286712831,0.282039904,-0.500613633,0.848305653,-0.284268913,-0.255647791,-0.057762042,0.787563828
METHACRYLIC ACID,,CC(=C)C(=O)O,15.8,2.8,10.2,0.7869492,0.7869492,-0.875748308,-1.204213432,0.513618269,-0.38747923,-0.296267817,-0.235568257,1.22568788,-1.019356048,0.988596169,1.420420453,1.062297753,0.788114312,0.485295558,-0.336713338,-0.398215598,0.673298724,-0.122721044,0.122066814,-0.610830959,0.426869904,-0.773477173,-0.26541243,1.811299362,-0.086346887,-0.511488025,-0.666445191,-0.773003308,-0.267722148,-0.46028875,-0.284970425,-0.313003625,0.446232139,-0.327193146,-0.259606659,1.342536908,-0.740896202,3.055050463,-0.182574186,-0.182574186,-0.586665087,-0.069915084,0.466949829,-0.500072599,0.885653791,-0.012795379,-0.305888201,-0.369341368,-0.544264715,0.059948196,-0.182574186,-0.182574186,0,-0.343203236,0.320789945,0.316205815,-0.361221809,-0.360159707,0.178319522,0.873750157,1.116742653,1.194808343,0.665107122,-0.588418312,-0.672903905,-0.147913027,-0.458612357,-0.465755201,-0.061565564,-0.100306959,-0.34164367,-0.347027443,0.896439819,0.622867657,-0.304262303,-1.523348536,-0.584709248,-0.416663767,1.10756126,-0.088584187,-0.685003908,0.528088901,0.836125078,-0.182574186,-0.589767825,-0.589767825,0.118400556,0.59805036,0.602549024,-0.229242019,0,-0.558156306,-0.415663001,-0.803707571,0.815822193,-1.153049747,-0.193022297,-0.288976059,-0.293281204,-0.581779844
octanoic acid,,CCCCCCCC(=O)O,15.7,3.3,8.2,0.92851908,0.92851908,-0.537937549,-0.888407167,2.109738208,0.374680775,0.794299599,0.881302422,1.039119674,-1.038103128,1.00772807,1.192073256,-0.313140424,0.335960748,1.177023248,-0.336785561,-0.811503743,0.862646717,-0.730154604,0.808529217,-0.648243535,0.178336557,-0.778948039,0.876920173,0.05858124,0.175361221,0.790505425,0.664943687,-0.193430595,-0.2445993,0.918572012,-0.015544089,0.758910822,0.446232139,-0.327193146,-0.259606659,1.342536908,1.370529868,-0.327326835,-0.182574186,-0.182574186,0.58011561,-0.124786526,0.645382494,-0.500072599,0.885653791,-0.012795379,-0.305888201,1.118304441,-0.544264715,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,0.320789945,0.316205815,-0.361221809,1.122392184,-0.750532807,0.873750157,1.116742653,1.194808343,-0.764760593,1.743775571,2.029458424,0.505896215,-0.458612357,-0.465755201,-0.026261578,-0.100306959,-0.34164367,-0.347027443,0.979293575,0.685979713,-0.475223903,-1.030294966,-0.584709248,0.729770979,0.017526901,-0.088584187,0.851581399,0.528088901,0.836125078,-0.182574186,-0.589767825,-0.589767825,0.118400556,0.59805036,0.602549024,1.086776977,0,-0.558156306,0.611563269,1.429489257,-1.29392748,1.358717958,-0.049190482,0.31883077,1.235843709,-0.144580053
oleicacid,,CCCCCCCC/C=C\CCCCCCCC(=O)O,16,2.8,6.2,1.024135171,1.024135171,-0.549494888,-0.881651229,-2.278839815,0.911657142,3.388328014,3.372783167,1.039119674,-1.038103128,1.00772807,1.192073256,-1.290425445,-1.020499945,-0.206432133,-0.336783848,-0.888939098,0.911582908,-0.889169713,0.977157648,-0.654108678,0.178383168,-0.77895106,2.119002201,0.605633643,2.308014334,3.254398382,2.885268843,-0.773003308,3.807618058,3.592570573,0.42561321,3.339758268,0.446232139,-0.327193146,-0.259606659,1.342536908,1.370529868,-0.327326835,-0.182574186,-0.182574186,2.276188285,2.677431225,0.645382494,-0.500072599,0.885653791,-0.012795379,-0.305888201,3.101832188,-0.544264715,0.059948196,-0.182574186,-0.182574186,0,-0.343203236,0.320789945,0.316205815,-0.361221809,3.099128038,0.178319522,0.873750157,1.116742653,1.194808343,-0.764760593,1.743775571,2.029458424,3.227727922,-0.458612357,-0.465755201,1.217977322,-0.100306959,-0.34164367,-0.347027443,1.035252881,0.725663847,-0.475223903,-1.019747236,-0.584709248,3.721277632,0.065911281,-0.088584187,0.749142379,0.528088901,0.836125078,-0.182574186,-0.589767825,-0.589767825,0.118400556,0.59805036,0.602549024,3.45561117,0,-0.558156306,2.728303346,-0.527344029,0.293566632,-0.35694699,5.111428709,2.633212797,2.701606276,-0.374817808
stearic acid,,CCCCCCCCCCCCCCCCCC(=O)O,16.3,3.3,5.5,1.027124713,1.027124713,-0.520167597,-0.868350184,-1.591422299,0.773082596,3.426153764,3.458696296,1.039119674,-1.038103128,1.00772807,1.192073256,-1.616187119,-1.698730291,-1.359311617,-0.336783808,-0.955595177,0.961888033,-1.041591201,1.089434067,-0.658028661,0.178374206,-0.778951301,2.119002201,0.299911057,1.8354515,3.439949601,3.340143878,-0.193430595,3.807618058,3.664202609,0.437389483,3.36802646,0.446232139,-0.327193146,-0.259606659,1.342536908,1.370529868,-0.327326835,-0.182574186,-0.182574186,3.458425658,-0.124786526,0.645382494,-0.500072599,0.885653791,-0.012795379,-0.305888201,3.597714124,-0.544264715,-0.736528123,-0.182574186,-0.182574186,0,-0.343203236,0.320789945,0.316205815,-0.361221809,3.593312001,-0.750532807,0.873750157,1.116742653,1.194808343,-0.764760593,1.743775571,2.029458424,3.908185849,-0.458612357,-0.465755201,-0.026261578,-0.100306959,-0.34164367,-0.347027443,1.037002511,0.727185371,-0.475223903,-0.998980936,-0.584709248,3.51854586,0.070878448,-0.088584187,1.0223131,0.528088901,0.836125078,-0.182574186,-0.589767825,-0.589767825,0.118400556,0.59805036,0.602549024,3.718814969,0,-0.558156306,2.857253516,1.782993259,-1.504151857,1.412143932,1.64197243,4.656722462,4.0421412,-0.468005492
